time_records,open,high,low,close,prediction,ticket,order price,prediction_s,high_dif_l,low_dif_l,y_l,high_dif_s,low_dif_s,y_s,result_l,result_s
3/31/2023 1:00,1979.862,1981.895,1979.546,1981.461,0,none,none,0,1.614,-3.441,0,1.614,-3.441,0,none,none
3/31/2023 2:00,1981.436,1983.075,1980.484,1981.298,0,none,none,0,0.683,-3.627,0,0.683,-3.627,0,none,none
3/31/2023 3:00,1981.268,1981.981,1979.887,1980.374,0,none,none,0,3.242,-2.703,0,3.242,-2.703,0,none,none
3/31/2023 5:00,1980.343,1980.519,1979.081,1979.118,0,none,none,0,4.498,-1.447,1,4.498,-1.447,0,none,none
3/31/2023 6:00,1979.119,1980.111,1978.02,1978.424,0,none,none,0,5.192,-0.753,1,5.192,-0.753,0,none,none
3/31/2023 7:00,1978.449,1979.805,1977.671,1979.684,0,none,none,0,3.932,-0.55,0,3.932,-0.55,0,none,none
3/31/2023 8:00,1979.652,1983.616,1979.134,1982.392,0,none,none,0,0.942,-4.268,0,0.942,-4.268,0,none,none
3/31/2023 9:00,1982.36,1983.334,1980.822,1981.726,0,none,none,0,3.329,-3.602,0,3.329,-3.602,0,none,none
3/31/2023 10:00,1981.695,1981.9,1980.817,1981.219,0,none,none,0,3.836,-6.378,0,3.836,-6.378,0,none,none
3/31/2023 11:00,1981.196,1982.077,1980.269,1980.865,0,none,none,0,4.19,-7.656,0,4.19,-7.656,0,none,none
3/31/2023 12:00,1980.856,1980.921,1978.124,1979.098,0,none,none,0,5.957,-5.889,0,5.957,-5.889,0,none,none
3/31/2023 13:00,1979.092,1985.055,1979.092,1984.22,1,268660906,1984.332,0,-0.013,-11.011,0,-0.013,-11.011,1,FALSE,none
3/31/2023 14:00,1984.207,1984.207,1974.841,1975.299,0,none,none,0,6.646,-2.09,1,6.646,-2.09,0,none,none
3/31/2023 15:00,1975.303,1978.746,1973.209,1975.193,0,none,none,0,12.406,0.04,1,12.406,0.04,0,none,none
3/31/2023 16:00,1975.233,1980.403,1975.233,1978.455,1,268755949,1978.674,0,9.144,-3.654,0,9.144,-3.654,0,FALSE,none
3/31/2023 17:00,1978.486,1981.032,1976.99,1979.383,0,none,none,0,8.216,-4.582,0,8.216,-4.582,0,none,none
3/31/2023 18:00,1979.415,1981.945,1979.345,1980.229,0,none,none,0,7.37,-5.428,0,7.37,-5.428,0,none,none
3/31/2023 19:00,1980.241,1987.599,1976.188,1979.613,0,none,none,0,4.472,-4.812,0,4.472,-4.812,0,none,none
3/31/2023 20:00,1979.582,1984.085,1974.801,1979.672,0,none,none,0,1.405,-12.828,0,1.405,-12.828,1,none,none
3/31/2023 21:00,1979.636,1981.032,1975.258,1977.945,0,none,none,0,3.132,-11.101,0,3.132,-11.101,1,none,none
3/31/2023 22:00,1977.949,1981.077,1974.87,1979.695,0,none,none,0,0.089,-12.851,0,0.089,-12.851,1,none,none
3/31/2023 23:00,1979.688,1979.784,1975.278,1977.11,0,none,none,0,0.106,-10.266,0,0.106,-10.266,1,none,none
4/1/2023 0:00,1977.145,1977.216,1966.844,1967.378,0,none,none,0,4.74,-7.215,0,4.74,-7.215,0,none,none
4/1/2023 1:00,1967.416,1972.118,1967.204,1971.189,1,269019100,1971.56,0,0.246,-14.187,0,0.246,-14.187,1,FALSE,none
4/1/2023 2:00,1971.221,1971.435,1968.325,1970.968,0,none,none,0,0.029,-14.191,0,0.029,-14.191,1,none,none
4/1/2023 3:00,1970.932,1970.997,1968.498,1969.414,0,none,none,0,-1.969,-12.637,0,-1.969,-12.637,1,none,none
4/3/2023 5:00,1966.312,1967.445,1960.163,1962.561,0,none,none,0,1.941,-10.21,0,1.941,-10.21,1,none,none
4/3/2023 6:00,1962.53,1962.688,1957.002,1957.064,0,none,none,0,7.438,-7.41,0,7.438,-7.41,0,none,none
4/3/2023 7:00,1957.1,1964.126,1956.777,1962.413,1,269366266,1962.792,0,2.089,-12.759,0,2.089,-12.759,1,FALSE,none
4/3/2023 8:00,1962.41,1964.502,1958.446,1960.267,0,none,none,0,0.085,-10.613,0,0.085,-10.613,1,none,none
4/3/2023 9:00,1960.261,1960.352,1952.351,1952.559,0,none,none,0,4.591,-2.905,1,4.591,-2.905,0,none,none
4/3/2023 10:00,1952.526,1953.751,1949.654,1951.832,0,none,none,0,10.139,-1.339,1,10.139,-1.339,0,none,none
